2015-07-13 17:44:50 	 CRITICAL 		 STARTING####################

2015-07-13 17:44:50 	 ERROR 		 GSM: CANNOT OPEN PORT

2015-07-13 17:44:50 	 ERROR 		 PLC: CANNOT OPEN PORT

2015-07-13 17:44:50 	 ERROR 		 GSM: CANNOT OPEN PORT

2015-07-13 17:44:50 	 CRITICAL 		 s-------------Live:

2015-07-13 17:44:51 	 ERROR 		 GsmInit ERROR

2015-07-13 17:44:51 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:44:51 	 CRITICAL 		 e-------------Live:

2015-07-13 17:45:45 	 CRITICAL 		 s-------------Live:

2015-07-13 17:45:46 	 ERROR 		 GsmInit ERROR

2015-07-13 17:45:46 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:45:47 	 CRITICAL 		 e-------------Live:

2015-07-13 17:46:09 	 CRITICAL 		 s-------------Live:

2015-07-13 17:46:10 	 ERROR 		 GsmInit ERROR

2015-07-13 17:46:10 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:46:10 	 CRITICAL 		 e-------------Live:

2015-07-13 17:46:32 	 CRITICAL 		 s-------------Live:

2015-07-13 17:46:33 	 ERROR 		 GsmInit ERROR

2015-07-13 17:46:33 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:46:33 	 CRITICAL 		 e-------------Live:

2015-07-13 17:46:55 	 CRITICAL 		 s-------------Live:

2015-07-13 17:46:57 	 ERROR 		 GsmInit ERROR

2015-07-13 17:46:57 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:46:57 	 CRITICAL 		 e-------------Live:

2015-07-13 17:47:19 	 CRITICAL 		 s-------------Live:

2015-07-13 17:47:20 	 ERROR 		 GsmInit ERROR

2015-07-13 17:47:20 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:47:20 	 CRITICAL 		 e-------------Live:

2015-07-13 17:47:42 	 CRITICAL 		 s-------------Live:

2015-07-13 17:47:43 	 ERROR 		 GsmInit ERROR

2015-07-13 17:47:43 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:47:43 	 CRITICAL 		 e-------------Live:

2015-07-13 17:48:06 	 CRITICAL 		 s-------------Live:

2015-07-13 17:48:07 	 ERROR 		 GsmInit ERROR

2015-07-13 17:48:07 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:48:07 	 CRITICAL 		 e-------------Live:

2015-07-13 17:48:29 	 CRITICAL 		 STARTING####################

2015-07-13 17:48:29 	 ERROR 		 GSM: CANNOT OPEN PORT

2015-07-13 17:48:29 	 ERROR 		 PLC: CANNOT OPEN PORT

2015-07-13 17:48:29 	 ERROR 		 GSM: CANNOT OPEN PORT

2015-07-13 17:48:29 	 CRITICAL 		 s-------------Live:

2015-07-13 17:48:30 	 ERROR 		 GsmInit ERROR

2015-07-13 17:48:30 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:48:30 	 CRITICAL 		 e-------------Live:

2015-07-13 17:52:00 	 CRITICAL 		 s-------------Live:

2015-07-13 17:52:01 	 ERROR 		 GsmInit ERROR

2015-07-13 17:52:01 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:52:02 	 CRITICAL 		 e-------------Live:

2015-07-13 17:52:24 	 CRITICAL 		 s-------------Live:

2015-07-13 17:52:25 	 ERROR 		 GsmInit ERROR

2015-07-13 17:52:25 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:52:25 	 CRITICAL 		 e-------------Live:

2015-07-13 17:52:48 	 CRITICAL 		 s-------------Live:

2015-07-13 17:52:49 	 ERROR 		 GsmInit ERROR

2015-07-13 17:52:49 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:52:49 	 CRITICAL 		 e-------------Live:

2015-07-13 17:53:11 	 CRITICAL 		 s-------------Live:

2015-07-13 17:53:12 	 ERROR 		 GsmInit ERROR

2015-07-13 17:53:12 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:53:12 	 CRITICAL 		 e-------------Live:

2015-07-13 17:53:35 	 CRITICAL 		 s-------------Live:

2015-07-13 17:53:36 	 ERROR 		 GsmInit ERROR

2015-07-13 17:53:36 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:53:36 	 CRITICAL 		 e-------------Live:

2015-07-13 17:53:59 	 CRITICAL 		 s-------------Live:

2015-07-13 17:54:00 	 ERROR 		 GsmInit ERROR

2015-07-13 17:54:00 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:54:00 	 CRITICAL 		 e-------------Live:

